##version:1.0
##types:float	float	float	float	float	float	float	float	float	float	float	float	string
5	4	sbay	2	smik	scer	spar	klac	6	agos	kwal	3	filename
0.229078	0.039192	0.09883	0.229078	0.098595	0.068937	0.060056	0.605185	0.089899	0.575238	0.770749	0.088132	yeast-one2one/0.nt.tree
0.419969	0.051757	0.080186	0.419969	0.101955	0.06616	0.046527	0.87703	0.203066	0.862284	0.425927	0.088869	yeast-one2one/1.nt.tree
0.33866	0.031106	0.005726	0.33866	0.07666	0.062292	0.040864	0.929686	0.323596	0.786463	0.670816	0.178503	yeast-one2one/10.nt.tree
0.224231	0.0413	0.148347	0.224231	0.078761	0.066455	0.036846	0.444899	0.118832	0.858981	0.384992	0.0411	yeast-one2one/100.nt.tree
0.110736	0.028534	0.081557	0.110736	0.083534	0.051447	0.028599	0.289351	0.082543	0.358661	0.35299	0.036652	yeast-one2one/11.nt.tree
0.064209	0.033903	0.055083	0.064209	0.090505	0.045417	0.039903	0.206141	0.119405	0.570313	0.091671	0.039338	yeast-one2one/12.nt.tree
0.384086	0.044963	0.07859	0.384086	0.105764	0.067479	0.053179	0.671263	0.171813	0.636764	0.524349	0.113188	yeast-one2one/13.nt.tree
0.356206	0.046303	0.09663	0.356206	0.120776	0.073781	0.04392	1.014222	0.328667	1.131557	0.938255	0.09921	yeast-one2one/14.nt.tree
0.159053	0.035971	0.063799	0.159053	0.085419	0.054284	0.037352	0.379166	0.11089	0.42021	0.475276	0.091796	yeast-one2one/15.nt.tree
0.160913	0.04599	0.088592	0.160913	0.081739	0.059599	0.039743	0.301911	0.110513	0.937029	0.333634	0.05351	yeast-one2one/16.nt.tree
0.24508	0.050765	0.135929	0.24508	0.136161	0.088261	0.047534	1.267234	0.260188	0.975692	0.641461	0.095688	yeast-one2one/17.nt.tree
0.116511	0.033926	0.047917	0.116511	0.063274	0.047153	0.040522	0.414585	0.343411	0.521414	0.173648	0.089105	yeast-one2one/18.nt.tree
0.46028	0.045538	0.139394	0.46028	0.108415	0.065389	0.04626	1.060252	0.322692	1.019565	0.967772	0.08906	yeast-one2one/19.nt.tree
0.16838	0.028712	0.114805	0.16838	0.074675	0.07446	0.048896	0.410103	0.159241	0.752802	0.391447	0.043222	yeast-one2one/2.nt.tree
0.259388	0.051882	0.089931	0.259388	0.082949	0.041506	0.031837	1.335512	0.329973	0.770479	0.521325	0.080399	yeast-one2one/20.nt.tree
0.569928	0.014892	0.118674	0.569928	0.111069	0.05913	0.039557	0.824195	0.305541	0.476653	0.793456	0.038757	yeast-one2one/21.nt.tree
0.355009	0.023354	0.121691	0.355009	0.105347	0.074622	0.055255	0.711538	0.423289	1.052844	0.498557	0.087101	yeast-one2one/22.nt.tree
0.148269	0.073001	0.080789	0.148269	0.070698	0.003151	0.001652	0.207829	0.172148	0.244468	0.324537	0.041235	yeast-one2one/23.nt.tree
0.138622	0.019255	0.07944	0.138622	0.060297	0.068088	0.040952	0.470846	0.21767	0.698254	0.21371	0.059804	yeast-one2one/24.nt.tree
